product_id,impact_category,unit,total
singlescore_17_1,Climate change - Land use and LU change,Pt,0
singlescore_17_1,"Human toxicity, non-cancer - organics",Pt,0
singlescore_17_1,"Human toxicity, non-cancer - inorganics",Pt,0
singlescore_17_1,"Human toxicity, non-cancer - metals",Pt,0
singlescore_17_1,"Human toxicity, cancer - organics",Pt,0
singlescore_17_1,"Human toxicity, cancer - inorganics",Pt,0
singlescore_17_1,"Human toxicity, cancer - metals",Pt,0
singlescore_17_1,"Ecotoxicity, freshwater - organics",Pt,0
singlescore_17_1,"Ecotoxicity, freshwater - inorganics",Pt,0
singlescore_17_1,"Ecotoxicity, freshwater - metals",Pt,0
singlescore_18_1,Total,Pt,48558.4
singlescore_18_1,Climate change,Pt,0
singlescore_18_1,Ozone depletion,Pt,0
singlescore_18_1,Ionising radiation,Pt,0
singlescore_18_1,Photochemical ozone formation,Pt,0
singlescore_18_1,Particulate matter,Pt,0
singlescore_18_1,"Human toxicity, non-cancer",Pt,0
singlescore_18_1,"Human toxicity, cancer",Pt,0
singlescore_18_1,Acidification,Pt,0
singlescore_18_1,"Eutrophication, freshwater",Pt,0
singlescore_18_1,"Eutrophication, marine",Pt,0
singlescore_18_1,"Eutrophication, terrestrial",Pt,0
singlescore_18_1,"Ecotoxicity, freshwater",Pt,0
singlescore_18_1,Land use,Pt,0
singlescore_18_1,Water use,Pt,48558.4
singlescore_18_1,"Resource use, fossils",Pt,0
singlescore_18_1,"Resource use, minerals and metals",Pt,0
singlescore_18_1,Climate change - Fossil,Pt,0
singlescore_18_1,Climate change - Biogenic,Pt,0
singlescore_18_1,Climate change - Land use and LU change,Pt,0
singlescore_18_1,"Human toxicity, non-cancer - organics",Pt,0
singlescore_18_1,"Human toxicity, non-cancer - inorganics",Pt,0
singlescore_18_1,"Human toxicity, non-cancer - metals",Pt,0
singlescore_18_1,"Human toxicity, cancer - organics",Pt,0
singlescore_18_1,"Human toxicity, cancer - inorganics",Pt,0
singlescore_18_1,"Human toxicity, cancer - metals",Pt,0
singlescore_18_1,"Ecotoxicity, freshwater - organics",Pt,0
singlescore_18_1,"Ecotoxicity, freshwater - inorganics",Pt,0
singlescore_18_1,"Ecotoxicity, freshwater - metals",Pt,0
Herbicide,Total,Pt,13176815.469822299
Herbicide,Climate change,Pt,24201.564
Herbicide,Ozone depletion,Pt,2.1756e-9
Herbicide,Ionising radiation,Pt,837.086585
Herbicide,Photochemical ozone formation,Pt,0.0482284
Herbicide,Particulate matter,Pt,1.7361e-11
Herbicide,"Human toxicity, non-cancer",Pt,7.236719999999999e-12
Herbicide,"Human toxicity, cancer",Pt,5.3791999999999995e-15
Herbicide,Acidification,Pt,0.17838808
Herbicide,"Eutrophication, freshwater",Pt,0.0001366398
Herbicide,"Eutrophication, marine",Pt,0.010586454
Herbicide,"Eutrophication, terrestrial",Pt,0.60443343
Herbicide,"Ecotoxicity, freshwater",Pt,1460507.7396
Herbicide,Land use,Pt,10351420.44
Herbicide,Water use,Pt,1884.394864
Herbicide,"Resource use, fossils",Pt,1337963.403
Herbicide,"Resource use, minerals and metals",Pt,2.9472e-7
Herbicide,Climate change - Fossil,Pt,0
